@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
normal,0.159147,0
normal,0.157998,0.027778
normal,0.158924,0
normal,0.157813,0
normal,0.156737,0.028571
normal,0.15769,0
normal,0.15769,0.029412
anormal,0.157628,0.029412
normal,0.158609,0.111111
normal,0.161302,0.015385
anormal,0.161815,0.015385
anormal,0.161348,0.015385
normal,0.16186,0
normal,0.16186,0.032258
normal,0.162936,0
normal,0.161983,0.033333
normal,0.163094,0.034483
normal,0.164244,0
normal,0.164244,0.035714
normal,0.165434,0.037037
normal,0.166669,0
normal,0.166669,0.038462
normal,0.167025,0.04
normal,0.168358,0.041667
normal,0.169747,0
normal,0.169747,0.043478
